_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
6b0739a3-7d2f-11e7-8253-f5ddc2e07eee,1-c340fc680dc425f3a5eda1d49b8ae6f2,WS,Kiryat-Binyamin,sensorData,json,2017-08-09T18:20:27.066Z,36,2,40,13.12,0.7,108,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:27.066Z
6b0fec30-7d2f-11e7-89bf-73f282b91553,1-f877b090779e7d445eee26086a6a132a,WS,Kiryat-Ata,sensorData,json,2017-08-09T18:20:27.123Z,15.7,-1.2,13.8,16.74,0.6,102,23.6,46.5,0,53,6.9,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:27.123Z
6b106160-7d2f-11e7-9a24-b5e99625ae40,1-da10a4506124f484c03f31b8ee67f8cc,WS,Daliat-el-Carmel,sensorData,json,2017-08-09T18:20:27.126Z,,,,10.98,1.2,110,,,0.8,,16.8,,-0.1,0.3,-0.17,,20.5,1.1,,,,,,,,,,,,,,2017-08-09,18:20:27.126Z
6b106160-7d2f-11e7-b9c3-dbb5dc85f138,1-16a41a9377dcfb91066ec60b8018bdad,WS,Neve-Shaanan,sensorData,json,2017-08-09T18:20:27.126Z,26.5,-0.1,26.3,,1.2,164,,,-0.7,44,,22.8,0.1,-0.4,0.03,2.6,,,,,,,,,,,,,,,,2017-08-09,18:20:27.126Z
6b19fe50-7d2f-11e7-b718-a1f91ecfe503,1-f2d94eb85257ca924888fa7d5060b88c,WS,Ahuza,sensorData,json,2017-08-09T18:20:27.189Z,6.8,2.6,10.9,17.71,0.5,114,22.3,44.4,-0.1,20,11.9,18,,,,,22.9,,45,6.1,1002,0,10,,,,,,,,,2017-08-09,18:20:27.189Z
6b1b5de0-7d2f-11e7-8253-f5ddc2e07eee,1-5134f8a92bc313baef57d6152c27dfcc,WS,Shprintsak,sensorData,json,2017-08-09T18:20:27.198Z,7.8,0.1,8,,,,25.7,,-1.4,15,9.6,15.4,,,,,22.5,,3,5.8,1004,0,,0.03,,,,,,,,2017-08-09,18:20:27.198Z
6b234d20-7d2f-11e7-b505-c17b61b93525,1-2174ed64ed6062d0d004da8b024cd389,WS,Kiryat-Motzkin,sensorData,json,2017-08-09T18:20:27.250Z,6.9,-0.2,6.6,,2,248,21.2,78,-0.2,5,7.7,,,,,,22.4,,40,-19.6,983,0,39.7,0.26,75,,,,,,,2017-08-09,18:20:27.250Z
6b2f0cf0-7d2f-11e7-b9c3-dbb5dc85f138,1-722069339d31e6a8d3f950f34937359b,WS,Kiryat-Yam,sensorData,json,2017-08-09T18:20:27.327Z,14,0,13,6.52,2,140,27.2,48,-0.4,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:27.327Z
6b2f8220-7d2f-11e7-9090-b7e1210e708b,1-32cf9aff6634959376440bd48a31623e,WS,Kiryat-Hayim-Regavim,sensorData,json,2017-08-09T18:20:27.330Z,-0.1,-0.1,-0.3,2.78,0.7,278,25.5,,-0.1,,,,,,,,21.8,,,,,,,,61,,,,,,,2017-08-09,18:20:27.330Z
6b394621-7d2f-11e7-b9c3-dbb5dc85f138,1-6719dd8fa23bffead0c8d121970a8449,WS,Nesher,sensorData,json,2017-08-09T18:20:27.394Z,27.4,-0.3,26.8,4.7,2.5,118,23,39,1.1,17,,27.5,0.2,0.2,1.1,4.2,21.3,,,,,0,,,66,,,,,,,2017-08-09,18:20:27.394Z
6b3c2c50-7d2f-11e7-a9e4-4d653ae9914c,1-9ac7bb6a9fcadf4aec6ad3034630a666,WS,Kfar-Hasidim,sensorData,json,2017-08-09T18:20:27.413Z,4,-0.8,2.8,13.96,0.4,198,24.3,,,,14.6,18,,,,,,,30,,,,,,,6,0,6,0,,,2017-08-09,18:20:27.413Z
83a89d50-7d2f-11e7-b718-a1f91ecfe503,1-1d436ebddc04a95949845fe2a975931c,WS,Old-Market,sensorData,json,2017-08-09T18:21:08.389Z,1,-0.2,0.6,24.35,2,352,25,54.3,3.7,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:08.389Z
83b1c510-7d2f-11e7-a9e4-4d653ae9914c,1-80c871f2e4e5fd36e2f07f2795895877,WS,Kiryat-Tivon,sensorData,json,2017-08-09T18:21:08.449Z,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:08.449Z
83ba77a0-7d2f-11e7-a390-95eec430254a,1-5c1f0f2d654202403b0a328250567944,WS,Kiryat-Binyamin,sensorData,json,2017-08-09T18:21:08.506Z,6,1,8,23.73,3.1,299,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:08.506Z
83bcc191-7d2f-11e7-be4c-3f727278eaa3,1-cb8448ed01d79fcf19e30ada6e5c7f24,WS,Kiryat-Ata,sensorData,json,2017-08-09T18:21:08.521Z,10,-1.2,8.1,25.32,2.5,323,23.2,103,1.5,52,19.6,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:08.521Z
83c28df0-7d2f-11e7-89bf-73f282b91553,1-c0a7e42f6067af1222b6aa56930741bd,WS,Neve-Shaanan,sensorData,json,2017-08-09T18:21:08.559Z,3.6,0,3.6,,3.2,351,,,-0.8,44,,28.6,0,-0.5,-0.09,0,,,,,,,,,,,,,,,,2017-08-09,18:21:08.559Z
83c91da1-7d2f-11e7-a390-95eec430254a,1-2c1c13089d7b2a59d2483b573dacf318,WS,Daliat-el-Carmel,sensorData,json,2017-08-09T18:21:08.602Z,9.9,0.9,11.3,15.29,3.5,312,,,0.3,,13.2,,-0.2,0.2,-0.28,,27.5,1.4,,,,,,,,,,,,,,2017-08-09,18:21:08.602Z
83cec2f0-7d2f-11e7-9090-b7e1210e708b,1-ac52b7ae8b10cea208cb2ed694602e34,WS,Igud,sensorData,json,2017-08-09T18:21:08.639Z,4.4,3.8,10.3,24.36,3,284,21.9,74.9,0,19,12.1,19.1,,,,,28.1,,43,6.9,1002,0,273.3,,,,,,,,,2017-08-09,18:21:08.639Z
83d63d00-7d2f-11e7-9090-b7e1210e708b,1-c7e9514357cb93c31afbb55f1727e8ea,WS,Ahuza,sensorData,json,2017-08-09T18:21:08.688Z,19.3,4,25.5,,,,25.6,77.8,0.4,13,18,34.2,,,,,28.4,,2,16.2,1004,0,,-0.04,,,,,,,,2017-08-09,18:21:08.688Z
83d6b230-7d2f-11e7-a390-95eec430254a,1-d1a30ef241ae7ca469defc2d934c1aa2,WS,Shprintsak,sensorData,json,2017-08-09T18:21:08.691Z,11.5,0.9,13.1,,2.5,358,21,88.4,0,5,12.4,35.1,,,,,27.3,,39,22.6,983,0,863.3,0.3,61,,,,,,,2017-08-09,18:21:08.691Z
83db4610-7d2f-11e7-b9c3-dbb5dc85f138,1-16b46812994fc4f9cbeb82563695d55e,WS,Kiryat-Motzkin,sensorData,json,2017-08-09T18:21:08.721Z,15,0,16,18.39,5.4,336,26.6,98,1.3,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:08.721Z
83db6d20-7d2f-11e7-b9c3-dbb5dc85f138,1-206d6453b774b72365668e8d92b0e540,WS,Kiryat-Yam,sensorData,json,2017-08-09T18:21:08.722Z,1.8,0.2,2.1,9.9,1.1,269,28.2,,0.6,,,,,,,,29.7,,,,,,,,45,,,,,,,2017-08-09,18:21:08.722Z
83e705e0-7d2f-11e7-b718-a1f91ecfe503,1-e7db968cc76c880328483ee1536b7891,WS,Kiryat-Bialik,sensorData,json,2017-08-09T18:21:08.798Z,15.7,7.1,26.6,20.43,2.2,315,26.4,76.7,0,17,21.1,28,0.2,0.1,-0.18,3.7,27.6,,30,,,0,,,56,39,14,61,0,,,2017-08-09,18:21:08.798Z
